code_commune,prix_m2_median_tous,nb_transactions_tous,prix_m2_median_maison,nb_transactions_maison,prix_m2_median_appart,nb_transactions_appart,annee,nom_commune,code_departement
01183,2846.19978858351,20,2631.6161616161617,12.0,8456.043956043955,8.0,2020,Guéreins,01
01184,1213.25,7,1213.25,7.0,,,2020,Hautecourt-Romanèche,01
01185,1285.1010101010102,46,1142.857142857143,31.0,1818.1818181818185,15.0,2020,Plateau d'Hauteville,01
01187,1303.6175710594316,6,1444.4444444444443,3.0,1162.7906976744189,3.0,2020,Haut Valromey,01
01188,1770.4545454545455,8,1770.4545454545455,8.0,,,2020,Illiat,01
01192,2031.0077519379845,7,1427.8581267217633,4.0,7310.294117647059,3.0,2020,Izernore,01
01194,2677.802197802198,54,2903.6796536796537,30.0,1973.2312440645774,24.0,2020,Jassans-Riottier,01
01195,2036.1990950226243,10,2049.3495475113123,8.0,1237.776634071024,2.0,2020,Jasseron,01
01196,1615.1685393258426,13,1615.1685393258426,13.0,,,2020,Jayat,01
01197,2168.684210526316,7,2168.684210526316,7.0,,,2020,Journans,01
01199,1479.9107142857144,24,1535.625,20.0,1295.681063122924,4.0,2020,Jujurieux,01
01202,2272.7272727272725,64,2315.3846153846152,36.0,1980.0569800569801,28.0,2020,Lagnieu,01
01203,1924.5283018867924,13,1924.5283018867924,13.0,,,2020,Laiz,01
01204,2144.7337962962965,10,2312.5,7.0,1218.1818181818182,3.0,2020,Le Poizat-Lalleyriat,01
01209,3673.469387755102,5,3824.6865011064665,4.0,3461.8,1.0,2020,Léaz,01
01210,1996.6666666666667,21,1017.8571428571428,3.0,2008.1372549019607,18.0,2020,Lélex,01
01211,2018.2291666666667,13,2018.2291666666667,12.0,1558.139534883721,1.0,2020,Lent,01
01212,1875.0,7,1875.0,5.0,1948.4186746987953,2.0,2020,Lescheroux,01
01213,2358.0883729638645,10,2469.387755102041,7.0,2040.909090909091,3.0,2020,Leyment,01
01216,2064.4970414201184,8,2064.4970414201184,8.0,,,2020,Lhuis,01
01224,2654.3478260869565,42,2608.695652173913,31.0,2903.2258064516127,11.0,2020,Loyettes,01
01225,2125.0,7,2320.5,6.0,1998.924731182796,1.0,2020,Lurcy,01
01227,2333.333333333333,5,2333.333333333333,5.0,,,2020,Magnieu,01
01229,1867.0798898071625,16,1781.0996563573883,12.0,2314.295442501325,4.0,2020,Malafretaz,01
01230,1319.6807228915663,5,1319.6807228915663,5.0,,,2020,Mantenay-Montlin,01
01231,1853.835978835979,8,1853.835978835979,8.0,,,2020,Manziat,01
01232,2044.403330249769,34,1847.1032608695652,20.0,12072.279069767445,14.0,2020,Marboz,01
01235,2839.5061728395062,11,2845.0704225352115,7.0,2704.70303030303,4.0,2020,Marlieux,01
01236,1451.048951048951,16,1451.048951048951,16.0,,,2020,Marsonnas,01
01237,1306.3249276560564,8,1893.2038834951456,5.0,961.038961038961,3.0,2020,Martignat,01
01238,3514.1739926739924,16,3514.1739926739924,16.0,,,2020,Massieux,01
01240,1677.2,17,1671.9333333333334,16.0,1763.157894736842,1.0,2020,Matafelon-Granges,01
01241,2400.0,13,2654.8,11.0,1245.0,2.0,2020,Meillonnas,01
01243,2444.4444444444443,12,2388.8888888888887,11.0,5571.428571428572,1.0,2020,Messimy-sur-Saône,01
01244,2842.696629213483,70,2889.2118863049095,34.0,2784.8974358974356,36.0,2020,Meximieux,01
01245,1791.044776119403,12,1791.044776119403,12.0,,,2020,Bohas-Meyriat-Rignat,01
01246,1804.4889293296937,28,1892.9601072745554,26.0,1340.4588235294118,2.0,2020,Mézériat,01
01247,2067.391304347826,17,,,2067.391304347826,17.0,2020,Mijoux,01
