code_commune,nom_commune,code_departement,latitude,longitude,commune_prix_m2,commune_volume,commune_prix_m2_maison,commune_volume_maison,commune_prix_m2_appart,commune_volume_appart,dept_prix_m2,dept_prix_m2_maison,dept_prix_m2_appart,commune_prix_m2_2020,commune_prix_m2_2024,evolution_5ans_pct,commune_prix_m2_2023,evolution_1an_pct,population_2023,evolution_pop_5_ans,evolution_pop_10_ans,revenu_median,taux_pauvrete,nb_equipements_total,equipements_par_1000_habitants,nb_equipements_dom_C,nb_equipements_dom_D,nb_equipements_dom_B,taux_cambriolages,taux_vols_total,taux_violences_total,distance_gare_km,gare_moins_5km,gare_moins_10km,score_immobilier,score_dynamisme,score_revenus,score_equipements,score_securite,score_transport,score_attractivite
01050,Boissey,01,46.38306,4.995894,1984.3407406909214,44,1959.248120300752,42.0,2887.89908330438,2.0,2624.447729710821,2500.0,2943.6619718309857,1600.0,2107.52688172043,31.7,1739.1304347826087,21.2,396.0,0.1282051282051282,0.2611464968152866,23180.0,,24.0,60.60606060606061,3.0,0.0,0.0,7.967921,3.9900291,4.0780581,9.7,0.0,1.0,51.8,94.7,62.2,5.0,36.4,42.5,53.0
01051,Bolozon,01,46.2138535,5.457806,1999.091746799694,16,1938.8751033912324,16.0,2943.6619718309857,,2624.447729710821,2500.0,2943.6619718309857,2465.909090909091,1292.3076923076924,-47.6,1126.7605633802816,14.7,103.0,0.1318681318681318,0.1444444444444444,,,32.0,310.6796116504854,0.0,0.0,0.0,7.967921,2.404332,1.397159,0.3,1.0,1.0,26.8,94.9,50.0,94.9,62.6,98.9,66.1
01052,Bouligneux,01,46.022299,4.991678,2679.8136847340384,13,2613.1452581032418,13.0,2943.6619718309857,,2624.447729710821,2500.0,2943.6619718309857,,2521.27402685212,,1885.144927536232,33.7,318.0,-0.0304878048780487,0.0460526315789473,27630.0,,44.0,138.36477987421384,0.0,0.0,3.0,7.967921,3.9900291,1.397159,3.5,1.0,1.0,,27.3,94.2,52.2,52.8,80.7,
01053,Bourg-en-Bresse,01,46.203679,5.2266984999999995,2052.190876162131,3918,2293.8286808976463,741.0,1990.2159195776162,3177.0,2624.447729710821,2500.0,2943.6619718309857,1825.0,2000.0,9.6,2146.4285714285716,-6.8,42372.0,0.0272498060512024,0.0464806124969128,20210.0,24.0,8372.0,197.58330973284245,225.0,1755.0,1161.0,5.6803859,18.4470787,11.021429200000002,1.0,1.0,1.0,39.4,66.0,11.4,80.3,3.0,93.8,47.1
01054,Bourg-Saint-Christophe,01,45.88743,5.151241,2868.5373415962163,86,2850.0550055005497,86.0,2943.6619718309857,,2624.447729710821,2500.0,2943.6619718309857,2457.627118644068,2843.0232558139533,15.7,3058.2291666666665,-7.0,1562.0,0.1101634683724235,0.2416534181240063,27320.0,,92.0,58.898847631242,3.0,0.0,0.0,7.967921,7.169056100000001,5.4752171,3.6,1.0,1.0,28.8,92.6,93.3,4.6,15.9,80.0,54.7
01056,Boyeux-Saint-Jérôme,01,46.0300415,5.4583475,1833.8897583170728,28,1790.47775958074,28.0,2943.6619718309857,,2624.447729710821,2500.0,2943.6619718309857,577.7777777777778,1666.6666666666667,188.5,1066.6666666666667,56.2,367.0,0.0606936416184971,0.0054794520547945,21640.0,,40.0,108.99182561307902,0.0,0.0,3.0,7.967921,7.169056100000001,2.7757036,9.3,0.0,1.0,64.9,81.7,28.6,30.6,26.4,44.5,50.0
01057,Boz,01,46.406451,4.91066,2314.4703661626454,45,2283.35843373494,45.0,2943.6619718309857,,2624.447729710821,2500.0,2943.6619718309857,1713.3303085299456,1938.888888888889,13.2,2311.926605504588,-16.1,513.0,-0.0191204588910133,0.0098425196850393,24300.0,,60.0,116.95906432748538,3.0,0.0,0.0,7.967921,3.9900291,2.6995135,3.6,1.0,1.0,35.0,34.5,75.3,36.5,44.6,80.0,48.6
01058,Brégnier-Cordon,01,45.643171,5.622562,1999.9079549518035,75,2052.8455284552842,66.0,2362.1101609657944,9.0,2624.447729710821,2500.0,2943.6619718309857,1888.687015503876,1618.0555555555557,-14.3,1989.1304347826087,-18.7,804.0,-0.0382775119617224,-0.0705202312138728,23420.0,,188.0,233.83084577114428,3.0,27.0,9.0,7.967921,7.4406281,5.4752171,11.8,0.0,0.0,26.8,23.3,65.3,87.8,15.3,33.5,42.5
01060,Brénod,01,46.059695,5.605839,1485.0593008487579,45,1547.7699177887637,32.0,2169.6669377969947,13.0,2624.447729710821,2500.0,2943.6619718309857,740.7407407407408,912.6984126984128,23.2,672.7272727272727,35.7,576.0,0.152,0.0472727272727272,24970.0,,124.0,215.2777777777778,3.0,24.0,9.0,7.967921,3.179027,5.4752171,13.4,0.0,0.0,69.4,96.4,81.5,84.5,33.3,27.9,71.7
01061,Brens,01,45.7185245,5.691665,2408.7969226976784,88,2403.022277613335,83.0,2677.574065080136,5.0,2624.447729710821,2500.0,2943.6619718309857,2370.8602908277408,2262.9670329670325,-4.6,2291.6666666666665,-1.3,1123.0,-0.0277056277056277,-0.0641666666666666,25110.0,,136.0,121.10418521816564,3.0,3.0,3.0,7.967921,4.4718612,5.4752171,14.8,0.0,0.0,23.4,29.0,82.6,39.6,26.3,23.5,39.1
01062,Bressolles,01,45.867425499999996,5.0957235,3216.308526563956,58,3125.8811936936936,49.0,4173.027702982601,9.0,2624.447729710821,2500.0,2943.6619718309857,3032.5956937799047,3317.4774774774774,9.4,5424.282051282052,-38.8,1028.0,0.1041890440386681,0.2660098522167488,28710.0,,116.0,112.84046692607004,3.0,3.0,3.0,7.967921,7.169056100000001,4.0780581,3.0,1.0,1.0,23.0,91.8,96.1,33.3,20.4,83.8,58.7
01063,Brion,01,46.1728035,5.551715,2329.5012101106468,30,2296.3800904977375,24.0,2760.6443256175708,6.0,2624.447729710821,2500.0,2943.6619718309857,2332.450704225352,2169.1176470588234,-7.0,1428.571428571429,51.8,592.0,0.1148775894538606,0.1517509727626459,25400.0,,88.0,148.64864864864865,3.0,6.0,0.0,7.967921,2.404332,5.4752171,0.6,1.0,1.0,23.9,93.3,84.8,58.7,37.5,96.4,63.8
