code_departement,prix_m2_median_tous,nb_transactions,prix_m2_median_maison,prix_m2_median_appart,annee
971,2994.6236559139784,2750,3042.4274809160306,2951.282051282052,2021
972,2908.033826638478,2674,2726.136363636364,3038.838612368024,2021
973,2650.602409638554,1237,2498.507462686567,2886.7521367521367,2021
974,2560.0,7681,2555.555555555556,2560.9756097560976,2021
01,2777.777777777778,12415,2645.736122284795,3181.603773584906,2022
02,1428.571428571429,9360,1367.4341531484388,2230.849358974359,2022
03,1409.3959731543623,9183,1309.090909090909,1834.1666666666665,2022
04,2421.0526315789475,4895,2591.7070707070707,2235.294117647059,2022
05,2666.6666666666665,4653,2670.5333333333333,2666.6666666666665,2022
06,4705.882352941177,34261,5316.338854382333,4567.263157894737,2022
07,2205.8823529411766,7287,2222.222222222222,2169.811320754717,2022
08,1364.8648648648648,4797,1273.7787542000517,1720.0,2022
09,1654.071428571429,4137,1596.638655462185,1913.58024691358,2022
10,1683.1683168316831,6117,1594.339622641509,1870.483870967742,2022
11,2050.5050505050503,11489,1879.7619047619048,2534.857142857143,2022
12,1728.2608695652175,6201,1544.3259569377992,2068.395061728395,2022
13,3800.0,38166,4376.32503192848,3522.0486111111113,2022
14,2687.5,18246,2417.9439879255406,3342.9276315789475,2022
15,1471.5979236812568,3304,1397.0588235294117,1608.108108108108,2022
16,1586.2068965517242,8995,1523.4901277584206,2241.3793103448274,2022
17,2851.194743130227,18104,2577.548682703322,4119.135454801464,2022
18,1383.375,7459,1308.8714938030007,1794.1176470588234,2022
19,1585.3658536585365,6306,1500.0,1836.988036593948,2022
21,2497.8385569985567,11662,2136.8197278911566,2750.0,2022
22,2000.0,16665,1909.121739130435,2580.322580645161,2022
23,1000.9541984732824,3164,970.1492537313432,1373.3075435203093,2022
24,1779.0682170542636,13604,1758.241758241758,1900.0,2022
25,2248.73417721519,10775,2090.909090909091,2380.535581912528,2022
26,2459.502457002457,11050,2580.8823529411766,2226.2295081967213,2022
27,2105.2631578947367,13871,2077.9220779220777,2385.0877192982457,2022
28,2055.8676654182273,9456,1945.2054794520548,2540.0641025641025,2022
29,2229.462068965517,21456,2168.4081458577675,2346.8460111317254,2022
2A,4342.38202247191,3009,5133.333333333333,4000.0,2022
2B,3219.9,2985,3281.9461414141415,3181.818181818182,2022
30,2662.162162162162,17587,2685.185185185185,2601.4492753623185,2022
31,2963.414634146341,28009,2828.618421052632,3081.6326530612246,2022
32,1748.7050820466663,4702,1691.4893617021276,1949.5,2022
33,3672.727272727273,34217,3387.3146208630083,4030.243492063492,2022
34,3306.7625,30837,3069.1362239672244,3482.1428571428573,2022
35,2805.2014995313966,20760,2394.557823129252,3517.2413793103447,2022
36,1200.0,5126,1157.8947368421052,1460.0,2022
37,2450.8191434468526,12310,2250.0,2888.8888888888887,2022
38,2857.1428571428573,26297,2905.309734513274,2818.0415263748596,2022
39,1779.3041926851026,5658,1712.1387283236995,2000.0,2022
40,2742.7157001414425,10358,2600.0,3135.6992,2022
41,1670.7107843137255,7886,1623.3766233766237,1976.7054263565892,2022
42,1916.6666666666667,16550,2179.0890688259105,1619.9333561175665,2022
43,1619.090909090909,4773,1538.562091503268,1800.6493506493507,2022
44,3400.0,28496,3149.8031496062995,3760.434782608696,2022
45,2024.3938717834303,14090,1915.7697368421052,2459.72972972973,2022
46,1816.3265306122448,4857,1785.7142857142858,2109.375,2022
47,1734.4827586206898,9555,1705.8823529411766,1888.888888888889,2022
48,1669.3574212271974,1408,1539.6825396825398,2000.0,2022
49,2285.714285714286,15237,2099.8214285714284,3018.867924528302,2022
50,1909.9099099099096,12529,1832.0610687022904,2800.0,2022
